source,target
sir_tails,German Cars & Trucks
sir_tails,Outdoor Activities
sir_tails,Breads
sir_tails,Fashion
sir_tails,Video Game Consoles
sir_tails,Martial Arts
sir_tails,Non-Alcoholic Beverages
sir_tails,Drawing & Sketching
sir_tails,Regional Cuisines
sir_tails,Types of Meat & Seafood
sir_tails,Drinks
sir_tails,Mexican Food
sir_tails,Footwear
sir_tails,Candy
sir_tails,Anime TV & Movies
sir_tails,Personal Celebrations
sir_tails,Fashion Styles & Trends
sir_tails,Visual Arts
sir_tails,Painting
sir_tails,Cows & Bulls
sir_tails,Survival Video Games
sir_tails,Technology
sir_tails,Produce
sir_tails,Friendships
sir_tails,Video Game Platforms
sir_tails,Video Games by Theme
sir_tails,Sandwiches
sir_tails,Hair Extensions & Wigs
sir_tails,North & South American Food
sir_tails,Bugs & Worms
sir_tails,Golf
sir_tails,Football Family of Sports
sir_tails,Strength Training
sir_tails,Travel Destinations
sir_tails,North American Professional Basketball Leagues
sir_tails,Foods of Mexico
sir_tails,Travel by Region
sir_tails,TV & Movies by Genre
sir_tails,Mammals
sir_tails,Birthdays
sir_tails,Popular Battle Royale Video Games
sir_tails,Mercedes-Benz Vehicles
sir_tails,Digital Art
sir_tails,Dogs
sir_tails,Small Motor Vehicles
sir_tails,Video Games by Year
sir_tails,Aquatic Animals
sir_tails,Asian Food
sir_tails,Toys
sir_tails,2010-2019 Video Games
sir_tails,Tennis
sir_tails,Body Piercing
sir_tails,Shoes
sir_tails,Farm Animals
sir_tails,Cats
sir_tails,Fruits
sir_tails,Ice Cream
sir_tails,Literary Forms
sir_tails,Desserts
sir_tails,Latin American Food
elvocool,Soccer
elvocool,Cars & Trucks by Make & Model
elvocool,Basketball
elvocool,Foods
elvocool,TV & Movies Celebrities
elvocool,Video Games
elvocool,Fashion Products
elvocool,Popular Survival Video Games
elvocool,Hairstyles
elvocool,Alcoholic Beverages
elvocool,Baked Goods
elvocool,Ground Transportation
elvocool,Gym Workouts
elvocool,German Cars & Trucks
elvocool,Birds
elvocool,Fashion
elvocool,AR/VR Games
elvocool,Popular Video Games
elvocool,Martial Arts
elvocool,European Cars & Trucks
elvocool,Drawing & Sketching
elvocool,Regional Cuisines
elvocool,Drinks
elvocool,Footwear
elvocool,Anime TV & Movies
elvocool,Personal Celebrations
elvocool,Cakes
elvocool,Fashion Styles & Trends
elvocool,Beauty
elvocool,Visual Arts
elvocool,Combat Sports
elvocool,Survival Video Games
elvocool,Animation TV & Movies
elvocool,Beauty Product Types
elvocool,Friendships
elvocool,Reptiles
elvocool,Parrots
elvocool,Video Games by Game Mechanics
elvocool,Video Games by Theme
elvocool,Dog Breeds
elvocool,Battle Royale Video Games
elvocool,Types of Sports
elvocool,Skateboarding
elvocool,Bugs & Worms
elvocool,Fortnite
elvocool,Football Family of Sports
elvocool,Beauty Products
elvocool,German Shepherds
elvocool,Video Games by Game Play Genre
elvocool,TV & Movies by Genre
elvocool,Mammals
elvocool,Birthdays
elvocool,Popular Battle Royale Video Games
elvocool,Dogs
elvocool,Small Motor Vehicles
elvocool,Monkeys
elvocool,Video Games by Year
elvocool,Cars & Trucks
elvocool,Cars
elvocool,2010-2019 Video Games
elvocool,Primates
elvocool,Animals
elvocool,Hair Care
elvocool,Horses
elvocool,Wrestling
elvocool,Farm Animals
elvocool,Cats
elvocool,Recipes
elvocool,Clothing & Accessories
elvocool,Desserts
elvocool,Pets
kalundaah,Car Racing
kalundaah,Fish
kalundaah,Sci-Fi TV & Movies
kalundaah,Alligators & Crocodiles
kalundaah,Vehicle Support Services
kalundaah,Footwear Product Types
kalundaah,Video Games
kalundaah,Board Games
kalundaah,Vacation & Leisure Activities
kalundaah,Vehicle Events
kalundaah,Japanese Cars & Trucks
kalundaah,Snacks
kalundaah,Road Trips
kalundaah,Turtles
kalundaah,Popular Video Games
kalundaah,Action Video Games
kalundaah,Frogs & Toads
kalundaah,Snakes
kalundaah,Sharks
kalundaah,Wild Cats
kalundaah,Modes of Travel
kalundaah,Western Europe Travel
kalundaah,Pastries
kalundaah,Baseball
kalundaah,Android Phones
kalundaah,Juices & Smoothies
kalundaah,Vegetables
kalundaah,Comic Strips
kalundaah,Stringed Instruments
kalundaah,Owls
kalundaah,Bowling
kalundaah,Fast Food
kalundaah,Spiders
kalundaah,Animation TV & Movies
kalundaah,Beauty Product Types
kalundaah,Drums & Percussion Instruments
kalundaah,Superhero TV & Movies
kalundaah,Types of Sports
kalundaah,Elephants
kalundaah,Skateboarding
kalundaah,Formula Racing
kalundaah,Dance
kalundaah,Pop Music
kalundaah,Motorsports
kalundaah,Fortnite
kalundaah,Swimming
kalundaah,Cosplay
kalundaah,Ice Skating
kalundaah,Jewelry Product Types
kalundaah,Jewelry
kalundaah,Nails & Nail Care
kalundaah,Faces & Face Care
kalundaah,Household Goods
kalundaah,Animals
kalundaah,Hair Care
kalundaah,Golden Retrievers
kalundaah,Formula 1 Racing
kalundaah,Football
kalundaah,Braids
kalundaah,Winter Sports
kalundaah,Spirits & Liquor
kalundaah,Racing Video Games
kalundaah,Cars & Trucks by Body Type & Style
kalundaah,Science & Engineering Disciplines
kalundaah,Fashion Accessories
kalundaah,Foods
kalundaah,Pigs
kalundaah,Prepared Foods & Dishes
kalundaah,Popular Survival Video Games
kalundaah,Volleyball
kalundaah,Chickens
kalundaah,East Asian Food
kalundaah,Pizza
kalundaah,Alcoholic Beverages
kalundaah,Vehicle Repairs & Maintenance
kalundaah,LEGO
kalundaah,Aviation
kalundaah,Poultry
kalundaah,Musical Instruments
kalundaah,Outdoor Activities
kalundaah,Fashion
kalundaah,Gymnastics
kalundaah,Track & Field
kalundaah,Water Sports
kalundaah,Martial Arts
kalundaah,Non-Alcoholic Beverages
kalundaah,Drawing & Sketching
kalundaah,Types of Meat & Seafood
kalundaah,Drinks
kalundaah,Classical Music
kalundaah,Personal Celebrations
kalundaah,Music by Genre
kalundaah,Visual Arts
kalundaah,Cows & Bulls
kalundaah,Home Construction & Renovation
kalundaah,Survival Video Games
kalundaah,Family TV & Movies
kalundaah,Fragrances
kalundaah,Car Events
kalundaah,Figure Skating
kalundaah,Technology
kalundaah,Produce
kalundaah,Friendships
kalundaah,Bees
kalundaah,Japanese Food
kalundaah,Video Game Platforms
kalundaah,MMA
kalundaah,Building Blocks & Toys
kalundaah,Dining Styles & Trends
kalundaah,Household Management
kalundaah,"Rice, Grains & Noodles"
kalundaah,North & South American Food
kalundaah,Tabletop Games
kalundaah,Bugs & Worms
kalundaah,Football Family of Sports
kalundaah,Travel Destinations
kalundaah,Smartphones
kalundaah,Africa Travel & Tourism
kalundaah,TV & Movies by Genre
kalundaah,Mammals
kalundaah,Birthdays
kalundaah,Mercedes-Benz Vehicles
kalundaah,Digital Art
kalundaah,Soft Drinks
kalundaah,Dogs
kalundaah,Music by Region
kalundaah,Video Games by Year
kalundaah,Asian Food
kalundaah,Rodents
kalundaah,Toys
kalundaah,Tennis
kalundaah,Restaurant Types
kalundaah,Rabbits
kalundaah,Fruits
kalundaah,Ice Cream
kalundaah,Aircraft
kalundaah,Car Culture & Driving
kalundaah,Goats
kalundaah,Aquatic Fitness
kalundaah,Desserts
kalundaah,Crafts
kalundaah,Cars & Trucks by Make & Model
kalundaah,Basketball
kalundaah,Song & Music Creation
kalundaah,Sheep
kalundaah,Travel by Experience Type
kalundaah,Asian Cars & Trucks
kalundaah,Musical Performances
kalundaah,Meat & Seafood
kalundaah,Fashion Products
kalundaah,Boxing
kalundaah,Tabletop Sports
kalundaah,Action TV & Movies
kalundaah,Nature Landmarks & Destinations
kalundaah,Nissan Vehicles
kalundaah,Frozen Desserts
kalundaah,Nail Care Product Types
kalundaah,Gym Workouts
kalundaah,Wine
kalundaah,Body Modification
kalundaah,Birds
kalundaah,Racket Sports
kalundaah,Video Game Consoles & Hardware
kalundaah,AR/VR Games
kalundaah,Comedy TV & Movies
kalundaah,Meat Recipes
kalundaah,Lizards
kalundaah,European Cars & Trucks
kalundaah,Restaurants
kalundaah,Cakes
kalundaah,Cocktails
kalundaah,Beauty
kalundaah,Skin & Body Care
kalundaah,Combat Sports
kalundaah,BBQ & Grilling
kalundaah,Makeup
kalundaah,Bedroom Design
kalundaah,Photography
kalundaah,Bacon
kalundaah,Reptiles
kalundaah,Guitars
kalundaah,Phones & Accessories
kalundaah,Parrots
kalundaah,Coffee Drinks
kalundaah,Video Games by Game Mechanics
kalundaah,Dog Breeds
kalundaah,Nail Care
kalundaah,Pork Recipes
kalundaah,Battle Royale Video Games
kalundaah,Bicycles
kalundaah,Lions
kalundaah,Cookies
kalundaah,Beauty Products
kalundaah,Horticulture & Gardening
kalundaah,Video Games by Game Play Genre
kalundaah,Sports Cars
kalundaah,Monkeys
kalundaah,Cars & Trucks
kalundaah,Ice Hockey
kalundaah,Cars
kalundaah,Vehicle & Transportation Industry
kalundaah,Primates
kalundaah,Running
kalundaah,Drama TV & Movies
kalundaah,Horses
kalundaah,Body Art
kalundaah,Card Games
kalundaah,Recipes
kalundaah,Clothing & Accessories
kalundaah,Interior Design
kalundaah,Pets
kalundaah,Pants & Bottoms
kalundaah,Soccer
kalundaah,South Asian Food
kalundaah,Weightlifting
kalundaah,TV & Movies Celebrities
kalundaah,Hairstyles
kalundaah,Baked Goods
kalundaah,Asia Travel
kalundaah,Ground Transportation
kalundaah,Nail Polish & Art
kalundaah,German Cars & Trucks
kalundaah,Breads
kalundaah,Aquatic Mammals
kalundaah,Video Game Consoles
kalundaah,Video Games by Literary Genre
kalundaah,Regional Cuisines
kalundaah,Mexican Food
kalundaah,Footwear
kalundaah,Keyboard Instruments
kalundaah,Consumer Tech
kalundaah,Anime TV & Movies
kalundaah,Public Transportation
kalundaah,Fashion Styles & Trends
kalundaah,Romance TV & Movies
kalundaah,Painting
kalundaah,Water Activities
kalundaah,Indian Food
kalundaah,Furniture
kalundaah,Hockey Family of Sports
kalundaah,BMW Vehicles
kalundaah,Amphibians
kalundaah,Video Games by Theme
kalundaah,Comedy
kalundaah,Sandwiches
kalundaah,Travel Purpose
kalundaah,Wind & Brass Instruments
kalundaah,Golf
kalundaah,Strength Training
kalundaah,Foods of Mexico
kalundaah,Europe Travel
kalundaah,German Shepherds
kalundaah,Air Travel
kalundaah,Motorcycle Racing
kalundaah,Travel
kalundaah,Travel by Region
kalundaah,Popular Battle Royale Video Games
kalundaah,Rottweilers
kalundaah,Clothing & Accessory Product Types
kalundaah,Audi Vehicles
kalundaah,Shirts & Tops
kalundaah,Tourist Attractions
kalundaah,Small Motor Vehicles
kalundaah,Bears
kalundaah,Street Food
kalundaah,Fantasy TV & Movies
kalundaah,Cooking Methods
kalundaah,Home Furnishings & Appliances
kalundaah,Aquatic Animals
kalundaah,Pool & Billiards
kalundaah,Fashion Media & Entertainment
kalundaah,Motorcycles
kalundaah,2010-2019 Video Games
kalundaah,Deer
kalundaah,Wrestling
kalundaah,Shoes
kalundaah,Farm Animals
kalundaah,Cats
kalundaah,Latin American Food
sourwah,Toys
sourwah,Skateboarding
sourwah,Meat & Seafood
sourwah,South Asian Food
sourwah,Shoes
sourwah,Regional Cuisines
sourwah,Clothing & Accessory Product Types
sourwah,Ice Hockey
sourwah,Dreadlocks
sourwah,Vehicle Events
sourwah,Dog Breeds
sourwah,Asian Food
sourwah,Pop Music
sourwah,Outdoor Activities
sourwah,Travel Destinations
sourwah,Beef
sourwah,Music Visualizer On
sourwah,Rubik’s Cube Timer Integration
sourwah,Silence Notifications During Meditation
sourwah,Brain Teaser Challenges
sourwah,Puzzle of the Day Notifications
sourwah,Instrumental Playlists
sourwah,Save Favorite Songs Automatically
sourwah,Music Theory Tips
sourwah,Custom Playlist Generator
sourwah,Smartwatch Integration
_r.u.a.i,Crafts
_r.u.a.i,Cars & Trucks by Make & Model
_r.u.a.i,Fish
_r.u.a.i,Basketball
_r.u.a.i,Meal Types
_r.u.a.i,Footwear Product Types
_r.u.a.i,Meat & Seafood
_r.u.a.i,Video Games
_r.u.a.i,Fashion Products
_r.u.a.i,Boxing
_r.u.a.i,East Asia Travel & Tourism
_r.u.a.i,Vacation & Leisure Activities
_r.u.a.i,Nature Landmarks & Destinations
_r.u.a.i,Gym Workouts
_r.u.a.i,Body Modification
_r.u.a.i,Birds
_r.u.a.i,Basketball Leagues
_r.u.a.i,AR/VR Games
_r.u.a.i,Popular Video Games
_r.u.a.i,Action Video Games
_r.u.a.i,Lizards
_r.u.a.i,European Cars & Trucks
_r.u.a.i,Snakes
_r.u.a.i,Hair Care & Styling
_r.u.a.i,Sharks
_r.u.a.i,Clothing & Accessories by Application
_r.u.a.i,Wild Cats
_r.u.a.i,Cakes
_r.u.a.i,Beauty
_r.u.a.i,Skin & Body Care
_r.u.a.i,Pastries
_r.u.a.i,Plants & Trees
_r.u.a.i,Baseball
_r.u.a.i,Combat Sports
_r.u.a.i,Comic Strips
_r.u.a.i,Animation TV & Movies
_r.u.a.i,Whales
_r.u.a.i,Beauty Product Types
_r.u.a.i,Reptiles
_r.u.a.i,Coffee Drinks
_r.u.a.i,Video Games by Game Mechanics
_r.u.a.i,Dog Breeds
_r.u.a.i,Nail Care
_r.u.a.i,Battle Royale Video Games
_r.u.a.i,Lions
_r.u.a.i,Types of Sports
_r.u.a.i,Elephants
_r.u.a.i,Skateboarding
_r.u.a.i,Dance
_r.u.a.i,Fortnite
_r.u.a.i,Cookies
_r.u.a.i,Beauty Products
_r.u.a.i,Horticulture & Gardening
_r.u.a.i,Video Games by Game Play Genre
_r.u.a.i,Cosplay
_r.u.a.i,Swimwear
_r.u.a.i,Gardening & Landscaping
_r.u.a.i,Jewelry Product Types
_r.u.a.i,Jewelry
_r.u.a.i,Monkeys
_r.u.a.i,Hair Types
_r.u.a.i,Nails & Nail Care
_r.u.a.i,Cars & Trucks
_r.u.a.i,Cars
_r.u.a.i,Primates
_r.u.a.i,Curly Hair
_r.u.a.i,Running
_r.u.a.i,Animals
_r.u.a.i,Hair Care
_r.u.a.i,Wilderness Activities
_r.u.a.i,Horses
_r.u.a.i,Body Art
_r.u.a.i,Card Games
_r.u.a.i,Hair Product Types
_r.u.a.i,Recipes
_r.u.a.i,Clothing & Accessories
_r.u.a.i,Travel & Tourism in the Americas
_r.u.a.i,Pets
_r.u.a.i,Pants & Bottoms
_r.u.a.i,Soccer
_r.u.a.i,Pottery & Ceramics
_r.u.a.i,Gorillas
_r.u.a.i,Foods
_r.u.a.i,Pigs
_r.u.a.i,Prepared Foods & Dishes
_r.u.a.i,Popular Survival Video Games
_r.u.a.i,Hairstyles
_r.u.a.i,Chickens
_r.u.a.i,Pizza
_r.u.a.i,Alcoholic Beverages
_r.u.a.i,Baked Goods
_r.u.a.i,Asia Travel
_r.u.a.i,NBA
_r.u.a.i,Aviation
_r.u.a.i,Poultry
_r.u.a.i,Ground Transportation
_r.u.a.i,German Cars & Trucks
_r.u.a.i,Outdoor Activities
_r.u.a.i,Breads
_r.u.a.i,Fashion
_r.u.a.i,Aquatic Mammals
_r.u.a.i,Martial Arts
_r.u.a.i,Video Games by Literary Genre
_r.u.a.i,Non-Alcoholic Beverages
_r.u.a.i,Drawing & Sketching
_r.u.a.i,Regional Cuisines
_r.u.a.i,Types of Meat & Seafood
_r.u.a.i,Drinks
_r.u.a.i,Mexican Food
_r.u.a.i,Footwear
_r.u.a.i,Candy
_r.u.a.i,Anime TV & Movies
_r.u.a.i,Personal Celebrations
_r.u.a.i,Fashion Styles & Trends
_r.u.a.i,Visual Arts
_r.u.a.i,Painting
_r.u.a.i,Cows & Bulls
_r.u.a.i,Survival Video Games
_r.u.a.i,Family TV & Movies
_r.u.a.i,Produce
_r.u.a.i,Friendships
_r.u.a.i,Northern Europe Travel
_r.u.a.i,Video Games by Theme
_r.u.a.i,Sandwiches
_r.u.a.i,Breakfast & Brunch
_r.u.a.i,Hair Extensions & Wigs
_r.u.a.i,North & South American Food
_r.u.a.i,Bugs & Worms
_r.u.a.i,Football Family of Sports
_r.u.a.i,Travel Destinations
_r.u.a.i,North American Professional Basketball Leagues
_r.u.a.i,Foods of Mexico
_r.u.a.i,Europe Travel
_r.u.a.i,German Shepherds
_r.u.a.i,Los Angeles Lakers
_r.u.a.i,Oceanian Travel & Tourism
_r.u.a.i,Beach Travel
_r.u.a.i,Africa Travel & Tourism
_r.u.a.i,Travel by Region
_r.u.a.i,TV & Movies by Genre
_r.u.a.i,Middle Eastern Food
_r.u.a.i,Mammals
_r.u.a.i,Birthdays
_r.u.a.i,Popular Battle Royale Video Games
_r.u.a.i,Digital Art
_r.u.a.i,Clothing & Accessory Product Types
_r.u.a.i,Shirts & Tops
_r.u.a.i,Dogs
_r.u.a.i,Small Motor Vehicles
_r.u.a.i,Bears
_r.u.a.i,Dairy
_r.u.a.i,Video Games by Year
_r.u.a.i,Aquatic Animals
_r.u.a.i,Necklaces
_r.u.a.i,Rodents
_r.u.a.i,Fashion Media & Entertainment
_r.u.a.i,Motorcycles
_r.u.a.i,2010-2019 Video Games
_r.u.a.i,Wrestling
_r.u.a.i,Shoes
_r.u.a.i,Farm Animals
_r.u.a.i,Cats
_r.u.a.i,Fruits
_r.u.a.i,Desserts
_r.u.a.i,Latin American Food
