id,label,is_preference
Dance,Dance,true
Body Modification,Body Modification,true
Weightlifting,Weightlifting,true
Fragrances,Fragrances,true
Video Games by Literary Genre,Video Games by Literary Genre,true
BBQ & Grilling,BBQ & Grilling,true
Formula Racing,Formula Racing,true
Sheep,Sheep,true
Combat Sports,Combat Sports,true
Indian Food,Indian Food,true
Travel & Tourism in the Americas,Travel & Tourism in the Americas,true
Public Transportation,Public Transportation,true
German Cars & Trucks,German Cars & Trucks,true
Video Games by Theme,Video Games by Theme,true
Car Events,Car Events,true
Cars & Trucks by Body Type & Style,Cars & Trucks by Body Type & Style,true
Soft Drinks,Soft Drinks,true
Track & Field,Track & Field,true
Keyboard Instruments,Keyboard Instruments,true
East Asia Travel & Tourism,East Asia Travel & Tourism,true
Pigs,Pigs,true
Wrestling,Wrestling,true
Travel by Experience Type,Travel by Experience Type,true
Primates,Primates,true
Gymnastics,Gymnastics,true
Cocktails,Cocktails,true
Music by Region,Music by Region,true
Sports Cars,Sports Cars,true
Asia Travel,Asia Travel,true
Dairy,Dairy,true
Bees,Bees,true
Baseball,Baseball,true
Android Phones,Android Phones,true
Dining Styles & Trends,Dining Styles & Trends,true
Motorcycles,Motorcycles,true
Coffee Drinks,Coffee Drinks,true
Produce,Produce,true
Rottweilers,Rottweilers,true
Fashion Styles & Trends,Fashion Styles & Trends,true
Boxing,Boxing,true
Fish,Fish,true
Vehicle Repairs & Maintenance,Vehicle Repairs & Maintenance,true
Swimwear,Swimwear,true
Sharks,Sharks,true
Recipes,Recipes,true
Motorcycle Racing,Motorcycle Racing,true
Clothing & Accessory Product Types,Clothing & Accessory Product Types,true
Snacks,Snacks,true
Car Culture & Driving,Car Culture & Driving,true
Cookies,Cookies,true
Asian Food,Asian Food,true
Drawing & Sketching,Drawing & Sketching,true
Clothing & Accessories by Application,Clothing & Accessories by Application,true
Birds,Birds,true
Goats,Goats,true
Drinks,Drinks,true
Mexican Food,Mexican Food,true
Gardening & Landscaping,Gardening & Landscaping,true
Desserts,Desserts,true
Video Games by Year,Video Games by Year,true
Hair Product Types,Hair Product Types,true
Aquatic Mammals,Aquatic Mammals,true
Golden Retrievers,Golden Retrievers,true
Animation TV & Movies,Animation TV & Movies,true
Bears,Bears,true
Smartphones,Smartphones,true
Oceanian Travel & Tourism,Oceanian Travel & Tourism,true
Fashion,Fashion,true
Sci-Fi TV & Movies,Sci-Fi TV & Movies,true
Shoes,Shoes,true
Pool & Billiards,Pool & Billiards,true
Footwear,Footwear,true
Instrumental Playlists,Instrumental Playlists,true
Clothing & Accessories,Clothing & Accessories,true
Mercedes-Benz Vehicles,Mercedes-Benz Vehicles,true
Candy,Candy,true
TV & Movies by Genre,TV & Movies by Genre,true
Tennis,Tennis,true
Giraffes,Giraffes,true
Board Games,Board Games,true
Birthdays,Birthdays,true
Horticulture & Gardening,Horticulture & Gardening,true
Travel Destinations,Travel Destinations,true
Skateboarding,Skateboarding,true
Popular Battle Royale Video Games,Popular Battle Royale Video Games,true
Aircraft,Aircraft,true
